Title,Year,Count,Rap,Release,Solo
a Day in Our Life,2002,148,0,0,0
A・RA・SHI,1999,262,0,0,0
Asterisk,2014,163,1,2,0
Attack it!,2009,258,1,2,0
Believe,2009,163,1,0,0
Bittersweet,2014,250,0,0,0
BRAVE,2019,29,1,0,0
CARNIVAL NIGHT part 2,2006,256,0,2,0
Come back to me,2010,30,0,2,1
COOL & SOUL,2006,93,1,2,0
COOL & SOUL for DOME07,2007,120,1,3,0
Cosmos,2012,20,1,2,0
Crazy Moon〜キミ・ハ・ムテキ〜,2009,113,0,0,0
Daylight,2016,37,1,0,0
Dear Snow,2010,52,0,0,0
Don’t Stop,2010,68,0,2,0
Doors〜勇気の軌跡〜,2017,87,0,0,0
EYE WITH DELIGHT,2004,106,1,2,0
Face Down,2012,185,1,0,0
Find The Answer,2018,71,0,0,0
Fly on Friday,2012,68,1,2,1
FUNKY,2013,414,0,0,0
Green Light,2017,46,0,2,0
GUTS!,2014,256,0,0,0
Happiness,2007,99,0,0,0
Hey Hey Lovin’ You,2004,123,0,1,0
Hip Pop Boogie,2008,34,1,2,1
Japonesque,2015,203,0,2,0
let me down,2010,160,1,2,0
Løve Rainbow,2010,50,0,0,0
Love so sweet,2007,99,0,0,0
Magical Song,2010,145,0,2,1
Monster,2010,37,0,0,0
movin’on,2010,265,1,2,0
NA!NA!NA!!,2006,43,1,1,0
negai,2011,59,0,2,0
NOW or NEVER,2017,78,0,1,0
Oh Yeah!,2007,208,0,2,0
One Love,2008,95,0,0,0
P・A・R・A・D・O・X,2013,529,1,2,0
PIKA★★NCHI DOUBLE,2004,72,1,0,0
Power of the Paradise,2016,20,0,0,0
Re(mark)able,2008,300,1,3,0
Reach for the sky〜天までとどけ〜,2017,46,0,1,0
ROCK YOU,2007,86,1,0,0
Sakura,2015,60,0,0,0
season,2009,90,0,1,0
Shake it!,2010,157,0,2,1
Step and Go,2008,104,1,0,0
Still...,2007,325,1,1,0
Sugar,2017,109,0,2,0
Summer Splash!,2010,205,1,2,0
T.A.B.O.O,2010,160,1,2,1
Take Off!!!!!,2014,179,1,2,0
Troublemaker,2010,410,0,0,0
truth,2008,167,0,0,0
Turning Up,2019,34,1,0,0
Up to you,2012,165,1,2,0
We can make it!,2007,24,1,0,0
WISH,2005,34,0,0,0
Yes? No?,2005,26,1,2,0
Zero-G,2014,318,0,2,0
いつまでも,2007,76,1,1,0
うたかた,2011,94,1,1,0
きっと大丈夫,2006,367,1,0,0
サクラ咲ケ,2005,139,1,0,0
スパイラル,2010,104,1,1,0
つなぐ,2017,22,0,0,0
できるだけ,2003,27,0,2,0
とまどいながら,2003,31,0,0,0
バズりNIGHT,2017,74,0,2,0
ハダシの未来,2003,74,0,0,0
はなさない!,2001,41,0,0,0
まだ見ぬ世界へ,2011,354,1,2,0
マダ上ヲ,2010,39,1,2,0
リフレイン,2010,76,0,2,0
ワイルド アット ハート,2012,150,0,0,0
愛を叫べ,2015,18,0,0,0
遠くまで,2011,108,0,2,0
夏の名前,2005,24,1,2,0
果てない空,2010,23,0,0,0
感謝カンゲキ雨嵐,2000,90,0,0,0
空高く,2010,93,1,2,0
君のうた,2018,43,0,0,0
君のために僕がいる,2001,69,0,0,0
言葉より大切なもの,2003,75,1,0,0
心の空,2015,164,1,2,0
素晴らしき世界,2005,434,1,2,0
秘密,2005,42,0,2,1
風の向こうへ,2008,89,1,0,0
抱擁,2017,33,0,2,0
迷宮ラブソング,2011,279,0,0,0
揺らせ、今を,2010,98,0,1,0